,student_id,question_id,text,gender,native_language,question
4861,bi6,640,"Hi Friend, I hope that you will like the ELI.  It is very interesting institute.  If you are planning to study in the ELI, you should be ready to study hard.  If you don't to be a full time student, you can take three or four classes.  Betsy Davies is the student's advisor that the student can go to her if they need help.  You can go to Forbes Ave if you want to eat lunch.  Also, there is a dormitory near the ELI if you want a room near the Cathedral of Learning.  The weather is very changeable in Pittsburgh.  You have to be prepared for the cold if you plan to be in the ELI in the winter season. ",Male,Arabic,Write a paragraph of at least 8 sentences (at least 4 conditional) giving advice to a new ELI student about what to do and what NOT to do.
17866,ah9,2555,"There are many interesting places or interesting discovery that has been made in Korea. 
That is from tiny earring to magnificent statue. One of them is 'Dae Wang Am' which was not spotted for hundreds of years because it has been under the sea. When people found it they were fascinated because it was a grave. It is mystery how they buried the dead person. It was surrounded by four rocks. So it was difficult to be detected. Many historians had cooperated to find the grave. 
",Female,Korean,Write about an interesting place or an interesting discovery that has been made in your country.  Describe the place or discovery and why it is important.
10607,co4,1636,quizes which Astro prepared them before she left.,Male,Arabic,I'm going to bring
12312,gu0,1858,"They are traveling, going fishing, and listening a piano. Traveling and going fishing are what I used to do very often when I was a child. My sister used to play the piano with me.",Male,Korean,What are 3 things that EVOKE memories of your childhood when you see or hear them?
14624,cx0,2240,Meadowcroft Rockshelter shows evidence of small-game hunting which means thae first americans do not only rely on hunting mammoth.,Female,Chinese,"Why is the Meadowcroft Rockshelter site important, according to this article?"
6020,bb5,1027,"Topic: My favorite comic.

    When I was young, about ten years old, the comic in Taiwan was very famous. I think maybe that was a little effect from Japan's culture. At that time, one of my favorite comics the name is Dragon Ball. I think maybe this comic is still famous of the world. The author's name is Akira Toriyama. He was born in Japan, 1955. When he was 23 years old, he joined the comic race, finally he won the fresh champion. Then, he begins his draw life. He drew a lot of famous comics included Dr. Slump and Dragon Ball. Until now, the Dr. Slump was sold about 28 million copies. Dragon Ball was sold about 103 million copies. Now, he is the authority of the comic area in Japan. Why did I very like the Dragon Ball? First of all, the leading role is a good man, he has a lot of power to fight a bad guy which come from the alien place. Second, all of the story was fill of the amazing and fantastic, like the universal monsters or planets. Then, every time the monster wants to attack the earth, he always protects the people of earth, and fights with the monster. Just like the Spider Man. So, he used to be a hero in my mind when I was young. Now, I still very like this comic. Dragon Ball is my favorite comic.",Male,Taiwanese,Follow the directions on p. 19 of your textbook. Remember to only submit the paragraph (#5).
45959,dz0,6100,"First of all, Cathedral of Learning is one of the historic and beautiful building in Pittsburgh.All guide books about Pittsburgh introduce it and there are many tourlists every day.We can look down whole Pittsburgh from the top of it.We can see a lot of flowers,animals,and lightening bugs at summer night around there.On the third floor, there are several class room of the world.It is very rare that class room are inside a cathedral.",,,Choose one (1) of the subtopics and write one (1) body paragraph
41162,hb9,5500,"1.I had sold my car before I came to Pitssburgh.
2.I had my hair cut.
3.I had bought a new computer before I came to Pittsburgh.
4.My sunglasses has been stolen. 
5.I had my new house built.",Male,Arabic,What are 5 things that you had done before you came to Pittsburgh?
27394,ai1,3784,"thing that is general, and fact  most of the people know about it
for example: the youngest president in US is Obama.
",Female,Arabic,"What is ""common knowledge""?  Give an original example (not from the website or from class)."
23666,bu6,3255,"attract

The famous building attracts lots of peaple.


",,,"attract (4)
distinguish (13)
ensure (7)
inherent (5)
phenomenon (3)
resistance (10)
reveal (1)
subtle (2)
trigger (17)"
2734,ca5,339,"Winter in Pittsburgh is very cold. Everyone needs warm clothing .
",Male,Arabic,Winter in Pittsburgh is very cold.  Everyone needs warm ___.
28753,ch2,3934,"5 day forecast
Giant Eagle opened at Robinson Towmship on Thursday.
Even though Swine flu numbers decrease, the vaccine is still high demand.
Psam; David, who was the second king of Israel, praises the only God.
      Sometimes he cried out for help from his enemies.
      ",,,Write a brief summary of what you read.
39844,cp4,5263,the first minute of reading class,,,What is something very specific that you like about Pittsburgh?
13733,di7,2061,It means giving a lot of money.,Male,Chinese,"What does the phrase ""throwing in with"" (paragraph 4) mean in this context?"
29141,gj2,4010,"                                 The Effects of Poverty


     Poverty is the most challenging problem all over the world due to the complexity of the underlying causes. According to The Washington Times (Weber, 2009, para 1), 2.8 million Americans were below the poverty line in 2008.  Governments are unable to eradicate poverty or to amend people's lifestyle. Therefore, economists and experts have tried to find the causes and eradicate them. As we all know, an inadequate income and unsatisfactory wage can lead to more serious consequences such as an uneducated society, increasing crime and disease. 
     All in all, impoverished parents are unable to pay the tuition of their children, which increases illiteracy in poor countries. Low income forces children to stop going to schools even though they are free, owing to the school's requirements. According to Global Issues Organization (Shah, A. ,2009), 121 million children are out of education worldwide. In addition, poor countries usually don't offer school for public because of lacking money. Therefore, it increases the children who cannot read or write even their names.  
     The second effect of poverty is an increasing crime rate more than normal range. Everyone struggles to be survive leading him to make any effort to get money or food to protect him from death. Furthermore, hunger obliges people to do illegal things without thinking ahead of the consequences.  What do you expect from people who live in poor countries, lacking security and the continuing wars?
     Last but not least, disease spreading is a reflection of poverty. The rate of public health in Europe and America is higher than is in Sub- Saharan Africa. Also, the most shocking fact that 2.2 million children die each year because they are not immunized, according to Global Issues Organization (Shah,A. 2009). AIDS and serious disease are increasing in poor countries and mortality is high.
     In conclusion, the effects of poverty are an uneducated society, increasing crime and disease. It is possible to eliminate poverty from the world by our aid. Why do we ignore struggling communities? Do they deserve what they are suffering from? Why do wealthy nations turn their faces away from them? These questions and others are asked every day but no response. I thank everyone who contributes to poor aid and does his best to lessen poverty and help people to live in peace and prosperity.  

References:
1-ANON_URLPAGE
3-ANON_URLPAGE

",Male,Arabic,Write your second draft.
41414,fa5,5519,A nation of immigrants,,,Title of Article:
26011,dm2,3565,because,Male,Chinese,Nancy bought a car ________ her old car fell apart.
28020,cy5,3879,"1)I think it is important for parents to pass on cooking skills to their children. 
Because various foods we should have everyday are very significant for all of us. A human body always need the nutritions of good quality. In order to keep normal health, I think we must have the fresh dishes which parents just make at home rightly. Parents put their heart into the food that they cook. These dishes can't compare with the ready-made, or fast food. Therefore, about to pass on cooking skills to their children, parents has to understand how important this is. ",Female,Korean,Remember to choose only 1 question and write a full paragraph. Good luck!
896,cb9,87,"No,It is not. The students get money from thier family.",Male,Arabic,Is a university education in your country expensive?  How do students get money for their expenses?
24854,bp2,3433,"What I like about the US is how friendly Americans are.
One thing that I love about the US is that they always smile to strangers actively.
The relationship that I envy of the US is when the US gets in a trouble which has many countries fight for them. 

A thing that I don't like about the US is how inconvenient the transportation is.
What I hate about the US is why restaurants charge extra tax and tips.
The only thing that I really don't like is that the living expense is much more expensive than Taiwan.
",Female,Chinese,Good luck!
23249,co1,3214,A,Male,Turkish,Which is not an activity listed in the paragraph?
17722,eq1,2544," list
.kitchen      .window      .TV     .couch     .bed   
  my apartment is small, but cmfortable.When you walk in the door, the frist thing you notice is small pretty kitchen on the back. It has a big window on the right well. My TV is next to heater in the right corner across the door. I have small couch in the middle. My desk near to a bed on the left side. So,that the good apartment found it until nom, and my search still continuous.",Male,Arabic,Use the drawing you made in your book (p. 38) to help you make your list and write your paragraph.
31989,da9,4389,it is decreasing.,Male,French,What is the overall trend in relation to accidental drownings in Taiwan?
45086,dz5,5994,"Title:Captain Cousteau
Magazine article:Audubon
Date of issue:May,1990
Page:17",,,"""The Antarctic is the vast source of cold on our planet, just as the sun is the source of our heat, and it exerts tremendous control on our climate,"" [Jacques] Cousteau told the camera. ""The cold ocean water around Antarctica flows north to mix with warmer water from the tropics, and its upwellings help to cool both the surface water and our atmosphere. Yet the fragility of this regulating system is now threatened by human activity."" From 'Captain Cousteau,'' Audubon (may 1990): 17."
31610,da9,4294,"                              Happiness

      While some people are happy, it coincides that some people are sad; however, everybody can reach their happiness in different ways. Happiness is a state of being happy, and when you reach it, you feel excited and sometimes you laugh by yourself. There are several causes of happiness for me; however, these are the three most important causes of my happiness: being healthy, being with my family and friends, and having money to feed my family.
      The first most important cause of my happiness is being healthy. Being healthy is an important cause of my happiness because even if i have everything in this world, and i am not happy, it doesn't mean anything if i am not well. Sickness is something that nobody wishes to have because it makes us suffer and takes away the taste of life. Consequently, being healthy is the most important element of my happiness.
      The second most important cause of my happiness is being with my family and friends. Having my family and friends on my side is also an important cause of my happiness. For example, whenever i am having a hard moment such as being sick or having personal problem, they are here to cheer me up or to sustain me no matter what i do or what i have. Interacting with them and having their advice makes me happy. Therefore, having these people with me is an integral part of my happiness. 
      The third most important cause of my happiness is having money to feed my family. Money is not a major cause of my happiness but it completes it. Having enough money to feed my family and be able to pay for my education and for my children makes me happy. Moreover, even if education is the key of the world, but not to always depend on your parents support. Thus, having enough money to take care of my family completes my happiness.
      In conclusion, being healthy, being with my family and friends, and having some money to feed my family are the most significant causes of my happiness. Even if, i don't have enough money to handle all of that stuff, having the two others makes really me happy.",Male,French,Write a five-paragraph essay about the causes of happiness
3692,fb3,439,"David L. Lawrence began his compain to stop air polluation. (Phillips, Hoff Oberlin & Pattak, 2005, p.3).








",Male,Arabic,"""The city's first renaissance was initiated in the 1950's, shortly after World War II, as then-mayor David L. Lawrence began a campaign called 'Smoke Must Go'"" (Phillips, Hoff Oberlin & Pattak, 2005, p.3)."
1432,az4,138,"Three years ago I went with my parents on my birthday to a Thai restaurant. At that time I did not know how the Thai food tastes. They were very excited about going to that new restaurant. 

I had ordered rice with a piece of chicken and a soda. It was the only dish that I can eat. When the waiter bought my dish I tried eating it but it was very sweet and I hate that kind of food. I was forced to eat it because I did not want my parents feel sad that I did not like it. We had a great time together with the nice atmosphere in Blue Elephant restaurant but I will not go back there again.",Female,Arabic,"Write two or three paragraphs about the best or worst meal experience you have ever had.  Your essay can be serious or funny.  Describe the kind of meal it was and what was good, bad, interesting or funny about it.  (Look at the example on page 126 in your textbook)."
19271,et4,2735,"In the future, English will not still be the dominant. They will experience increasing difficulty in many aspects such as employment, political life, culture and society. The native English speaker will decrease. The share of English speakers will slip from nine percent to five percent in 2005.",Female,Chinese,"""English seen as Co-Star among Global Languages"" - the future of English:"
28865,az3,3997,"My homestay mom and dad are nice people; when I come back everyday, my homestay mom always try to straighten up the home, and look after her child in the same time. My homestay dad work hard everyday; he tried to teach me how to turn on or turn off the heater or TV, and sometimes I watched steelers games with him. They have a son who is one and half years old and has a blonde hair, he always light the room up , because he is so cute. 
because of them, I can be happier in America. 

 ",Female,Taiwanese,"[U11 Ex. 9, p.168] Write about how you feel in your home, office or classroom. What makes you feel good/bad? What would you like to change? Use at least 5 phrasal verbs. You may use the journal entry in Ex. 5 and the list in Ex. 7 to help you get started.

Accuracy: target gram.      /5
                                                Frequency: target gram.            /2.5
                                                Accuracy: other gram.            /2.5
                                                                                       (_____/10)"
35217,cj5,4817,"                           Succeeding in my Career

As we all know the most major part of a bank's revenue is acquired from a loan business. Spending future money for enjoying present entertainment is a contemporary consumer culture  all over the world. Mortgage is built on the foundation of ancient pawnbroking.  The modern technology of mortgage classify the function of the pawnbroking . Before my graduating from a university ,I was not certain about my career path .However, after I worked in 3 banks within 4 years and a half, I have already known what field I want to work in . My professional plan of a career is become a mortgage manager. I 'm proud of my operational skills and the well known knowledge of an economic policy (such as exchange rate) and I am confident of my interpersonal skills and problem-solving. I wish I will have a high limited authority of handling a mortgage case in the future.  
The most important skill needed to succeed in becoming a mortgage manager is the ability of 
the interpersonal skills. It's so much fun to express myself wherever I go .One of the wonderful things about communicating with someone is to convey my  happiness and sincerity  . Make  new friends at a party and keep in touch with real estate companies so that I can get more information about my potential customers .Moreover, I like spending time on getting to know existing clients and I have to know as much as possible about client's need so that I could expand my business. I think cultivating a real dialogue might solidify the relationship with a client .

The second important skill is the background of my work experience and professional  knowledge. For an instance, I had passed the exam of anti-fake currency issued by China Central Bank . Eventually, I got the qualification certificate for anti-fake currency without doubt. Furthermore, every case could be handled by me within excellent high-speed . Meanwhile, I do not think an officer who works in an operational department and does an ordinary work looks like a robot. This is a basic work for every new colleague to start their careers. Fully master the whole operational work flow/line helps me understand economic policy .It could helps me to set an professional appearance in front of my clients as well.

The last but not least, the ability of problem - solving can be improved by social experience. You never know what you can do till you try . I never say no to my friends when we have different opinions but I try to talk them into understanding my opinion. And I never say no to my boss, because the decision can not be drawn by me. Therefore, I would say "" boss, I fully agreed with you plan ,we will achieve a great goal according to your perspective. If you can support us something ( eg : IT systerm ),we will do it better""  On the other hand , the skill of problem - solving  can helps me reduce trouble and increase sales opportunity . 

In summary , the most essential ability for a mortgage manager consists of   interpersonal skill , background of education and problem - solving . Fire is the test of gold. I just need an opportunity, and I 'm waiting for that day. 
",Female,Chinese,"Submit the first draft of your individual classification essay (""Succeeding in my Career""). Refer to the classification organization outline on p.121 of your textbook to be certain you've included all components."
14199,gl9,2141,happy,Female,Japanese,"strain, happy, tense"
38037,cg1,5147,It is soaked in a fermenting brine for four to six hours.,,,"Understanding the Text
How does stinky tofu become stinky?"
2686,fy0,331,"   Six month ago, I met friend of mine by coincidence at the Hookah Bar. He was sitting with three friends of him. I sit with them and we enjoyed our time. The time went very fast and it's 1 am and it's too late, so I have to leave. Before I left them, my friend called me ""Khalid, I said yes, and he said you should have given me your number before you leave, I said uh I'm sorry I forgot here it is my number"". 
   Two weeks later, he called me and invited me for a birthday party and he said you must come to celebrate with us then I said OK I will do. It was my first time that I invited to a party in U.S. actually, I don't know the customs in U.S.A., but I said I must take something as a gift for him, then I said I have got to take a cake. When I came over to him in his place, I gave him the cake and he really thanked me and I was happy because he enjoyed it. While we cut the cake we remembered the small candles. I apologized for my friend and I said ""sorry I should have brought with me"" but he said ""no don't worry it's my fault I should have had them"". 
   I was really happy to celebrate with him and I told hem that you are supposed to come over to hangout on my place.
",Male,Arabic,Do ex.9 on p.87 in your textbooks.
45660,br1,6054,I brush my teeth before shave my hair.,,,Sentence one:
941,fj4,96,"Friendship is a plant which we must often water.  It means if you want to mention or improve your friendship, you need keep in touch with you friends.  I agree.  
I had a good friend WHOES name is zheng.  She was my middle school classmate WHO always played with me.  She was my confidant WHO listened to my private feeling and thoughts.  Then we went to different high school ,WHICH were in the same city.  We also played with each other and reminded the time THAT spend in our middle school.  Latterly, I moved to other city with my parents.  We kept in touch with each other, but the letters that came from her were less and less.  Last, I lost the touch with my good friend WHO had 4 years friendship with me.",Female,Chinese,Write an essay of TWO paragraphs about a friend.    You may want to begin your essay with one of the quotations from Ex. 9.   Use adjective clauses with subject relative pronouns.   You can use Ex. 5 essay as a model.
32937,gc0,4536,"(n)
something that is much greater, more severe, etc. than usual.                                                                             ex:the extremes of wealth and poverty",Male,Arabic,extremes (8)
36668,gw0,4991,self-explanatory,Female,Chinese,3. Yasushi is _______________ to the fact that his birthday is on Valentines Day and he doesn't like it.
15207,el2,2275,"I don't worry from my mistakes, because I learn English, but I usually try learn from my mistakes and try don't repeat it. The mistakes allows not bad because (who need learn, who mast make mistakes)",Male,Arabic,How do you feel when you make mistakes when you speak English?  Are mistakes always a bad thing?
6095,ae4,1021,"Hi! My name is Heriberto Borquez. I have this name because the name of my father is Heriberto too. I'm from Mexico but now I'm living in the U.S because I'm studying English. I live in Pittsburgh and I think that it's a nice city for living although I miss to my parents and the mexican food. In adition, I'm planning a trip to Florida this week because my cousins and I want to go to the NASA and maybe we will visit Miami too. It will be a great experience!! ",Male,Spanish,see above
7122,bz5,1176,"There are several advices new ELI students can to help themselves succeed in learning English. First of all, you have to attend class everyday and to submit homework on time. Second, you should meet English speakers and talk to them, because of using English is the best way to learn English. And, Take care of your health. What is wealth without health? Finally, you should meet different country people. If you meet different country people, you will learn different country culture.",Male,Korean,"What advice would you give to a new ELI student to help them succeed in learning English?

Hints:
Think of things that you do that help you succeed.
What is the most important thing that you do?
You can talk about doing homework, making friends, living in the U.S.A. or anything else that relates to this topic."
45484,bh8,6062,I was reading news when you turned on radio.,,,Sentence five:
25459,cg9,3476,"1.        When I finish this class I'll move to Texas.
2.        If the weather get better, we 'll go to the Zoo
3.        Unless  I adjust my diet I'll  not gain height
4.        In case we visit the Zoo, we'll take many pictures
5.        Because the heater is idle, we decided to change the apt
6.        After getting acceptance in university, I'll go back to my country.
7.        As soon as I finish MS degree I'll go back home
8.        Once this semester is over, I'll  make a party
9.        Before I go back home I'll buy a lot of gifts for my family
10.        Although the life is expensive in Pgh we got accustomed to that


",Female,Arabic,good luck!
25531,fo4,3277,You can purchase a new car because you just got the annually bonus. ,Female,Chinese,Choose a final word from the list above and write an original sentence for it.
32360,cl6,4373,"If you want to be a cultured people, you have to read books.",Female,Chinese,CULTURED
31331,fe3,4334,"The best approach to studying vocabulary is read a text, a newspaper, a magazine, a book and etc. Also, study hard with a dictionary.",Female,Portuguese,"In your opinion, what is the best approach to studying vocabulary?"
36788,cf9,5007," As global connection closer, foreign travel is very popular now. Sufficient preparation is very important for your travel. First, you have to chose a location and gather the related information. Some guide books will tell you the famous spots, local culture, and weather. Such information can save your time, and help you arrange your schedule. Second, you need enough time to enjoy your travel. Foreign travel is not only around your country, but also a long distant. Don't spend all of the time on the road. The most important thing is money. Hotel, travel expenses, gifts are need money. Making a travel fund will help you enjoy your travel. If you do enough preparation, you'll have more fun in your foreign travel.",,,Write a well-organized paragraph.  Use examples and signal words.
4825,ey9,634,You should get a laptop if you travel a lot on business.,,,should get laptop/ travel a lot on business
29056,az3,3914,"This article indicates that there are more and more children suffered from Type 1 diabetes every year. Although Type 2 diabetes is grabbing the headlines, we should also care about Type 1 diabetes, because the number of new cases of Type 1 diabetes is increasing not only in Europe but also in America. According to some findings and reports, this trend in diabetes would be more severe in the future, but so far no one discovers what the exactly environmental cause is. Type 1 diabetes patients might have troubles with complication in their later lives, and they have to take insulin and monitor their blood-sugar levels several times a day. However, there are some symptoms of diabetes can help people find out if they have type 1 diabetes; if children diagnosed with Type 1 diabetes, at least they could have healthier lives under diabetes by controlling blood-sugar.",Female,Taiwanese,Summary:
4868,gg2,638,what happens if I don't like new computer? ,Female,Korean,what happens/ don't like new computer ? (make wh-question)
24257,cb0,3328,The probability of loosing their lives is always along with the soldiers who are working the front. ,Female,Chinese,Choose a final word from the list above and write an original sentence for it.  DO NOT COPY A SENTENCE FROM THE DICTIONARY.
20716,gq8,2721,he makes me go to church,Female,Korean,"Write a paragraph that has 5 - 7 sentences, and use each verb (MAKE, HAVE, LET, HELP, GET) at least once."
23011,ai1,3095,"                                         School uniforms

      Many schools are mandating and enforcing school uniforms for their students. School uniforms become a new argument in the most schools around the world.  Students have to accept them or not depend on which school they are. I think students should wear school uniforms instead of the ordinary clothes.
   
    Despite this argument for schools, some people might argue that the students should not wear school uniforms. They have many reasons to prove that. First, students have their rights to wear anything they want. To force them to wear uniforms in schools are a violation of their students' rights. Also, the livable degree between the students is different. If the sponsor cannot afford uniforms for their children, they won't be able to go to school. So, the sponsor has to spend much money in clothes instead of food or necessary things they need. In addition, students especially teens need to assert their personality. With the opportunity to wear anything, the sponsor and the administration can know more about the student's desire. Finally, these people against the school uniforms and they have their own reasons to believe that.


     On the other hand, many people and I agree with mandatory of the school uniforms. They also have their reasons. First, There is no discrimination between the students. School uniforms build a sense of unity in schools. All students have the same clothes so; it would be easy to identify them in any place. For example, if they are kidnapped, it will be easier to describe the students to the police to recognize them. In addition, school uniforms make the violence less preventable by eliminating one major warning sign. For example, the uniforms control the gang in the schools and reduce their power on the rip students. Due to impose school uniforms, the sponsor   doesn't have to think about new clothes for their children. For example, the sponsor can offer tow or three uniforms to their children at the whole semester so, no need to spend money every month.

     In conclusion, today school uniforms still make argument to accept them or not. I think the administrators in schools have to implement policies to achieve the environmental organized school by unifying the school uniforms.

",Female,Arabic,"Be sure to include a ""References"" section with at least 3 sources at the end of your paper.  It should be 12 pt. font/Times New Roman, at least 4 pages double-spaced."
15179,ef3,2274,"Yes , because we can,t understand any thing if we don,t try speak with our silf, so we have to use English alot of time with our classmates.",Female,Arabic,Do you think it is better to study English with classmates from different countries?  Why?
11684,bz1,1789,"I should have held my grudge against these advantage takers at that pleasant summer night. Sitting peacefully on the chair of the roof, I surrounded by people so-called 'colleagues'. Strangely, those who deserved my hatred for the countless advantage taking from me during my military serving were drinking and chatting with me harmony. That night, the sky was as clear and starring as my thoughts. I sincerely believed that the major reason that forced me grow up must relate to the people and events I encountered. 
",Male,Chinese,"Don't forget:
- include a hook
- include a thesis statement
- do NOT type double-spaced
- do NOT type your name"
16255,ca4,2320,Jack worked hard on the experiments to prove his hypothesis.                                        ,Male,Chinese,hypothesis (n)
17812,ea4,2561,"Should a student violate this policy, he or she will receive a zero for the assignment.

verb. to act contrary to something such as a law, contract, or agreement, especially in a way that produces significant effects
",Male,Korean,violate
17312,co4,2514,Gay marriage is a big disaster now that must be banned because that is opposite to nature except.,Male,Arabic,"TOPIC: (also called same sex marriage)
CON THESIS STATEMENT:"
3911,ei2,531,which,Female,Chinese,The book ___ your brother wants is on the table.
19536,fz2,2757,F,,,T or F
19857,ce7,2773,"
Earthquakes have two negative effects, loss of life and economic problems. 
Earthquakes cause buildings to collapse. When these buildings collapse, the people inside of them are injured or killed.  People lose their parents and siblings. After they lose their parents and siblings they will have no one to support them or guide them. 
The loss of buildings also has negative effects on the economy. After an earthquake, people lose their stores and places where they worst they are forced to relocate to other areas while their stores are rebuilt. If they relocate to a bad location, they will lose business.
 In conclusion, people must focus their efforts on earthquake prevention because it will minimize the loss of life and infrastructures.
",Male,Arabic,"First, write an outline of your ideas. Then, write a five-paragraph essay about the pressures of being a(n international) student.  Please proofread your writing for spelling, grammar and punctuation errors and correct them before you submit your work."
6096,eq8,1052,"Topic: Who would be your best roommate?

        Ji-chul would be a good roommate for me. First of all, he and I have almost the same daily routine. For example, he wakes up at 7:30A.M and I wake up between 7:30~8:00A.M. He goes to work between 8:20~8:30A.M and so do I. He always eats dinner around 7:30~8:00P.M.  I normally eat dinner eat dinner between 7:30~8:00 P.M so we could eat together.  Eating dinner with someone is one of the most important things. The second reason is that we have similar hobbies. He likes watching movies and playing soccer. I also like watching any kind of movie, drama and action TV shows. And he likes shopping and so do I.  We can be flexible with our time also. He takes a shower at 8:00A.M and I normally take a shower around 11:00P.M. so we won't interfere with each other and we can save time.  Finally the most important reason, I like his personality. He is honest and modest.

",Male,Korean,"Who in our grammar class would be your best roommate?  Use the answers you received on today's speaking activity (""Looking for a roommate"") to think about this - the 'best roommate' can be the person who has a lot in common with you or it can be the person whose schedule doesn't interfere with your schedule.    Write about the questions on your activity sheet.

For example, ""_____ would be a good roommate for me because we have the same schedule - he goes to bed at midnight and so do I."""
11349,ar5,1741,"Doing exercise or daily sport will help us getting out of a cold or flu in the winter.

Putting your coat on when you go outside is a good way to bypass getting a cold or flu in the winter.
",Female,Chinese,List two ways you can AVOID getting a cold or flu in the winter?
14833,ev9,2278,"  Welcome to Jeff's homepage.  I've been creating the website since last month, and I'll update it if I have new interesting events.
  I was born in Taiwan, and my grandmother has brought me up in the countryside.  I moved to live with my parents when I was five years old.  My father has been teaching me how to play badminton since I was seven years old, so I've always been playing badminton with him in my free time.
  I've been watching baseball games since I was a high school student.  The baseball games accompany my whole life.  Also, I played baseball very well when I was studying in the university.  But a baseball team is composed of nine people.  It's difficult to arrange a team, so I prefer watching baseball games.
  In order to improve my English ability, I've been studying abroad for six months.  In addition, I hope to get a master's degree in the U.S.  I sent the application to the department last November, and I've been waiting for the result for three months.
",Male,Chinese,"Write a few paragraphs about yourself for a personal website like the one on page 19. Tell about your interests and hobbies. Use the simple past, present perfect, and present perfect progressive."
4684,ey9,621,"It is really great dilemma. Poor Betty..But she SHOULD HAVE TRIED to know David before she has got deep relationship. She SHOULDN'T HAVE TOLD him that she loved. She SHOULD decide if she wants to marry with David or not without thingking the James. She should tell Davis about her feelings. They should decide what they will do. Than Betty may date with James, and try to know him better. ",,,"Betty is a 29-year-old woman who wants to get married and start a family. Last year she met David, who is 32 years old and has a good job at a bank. He is good-looking and he likes children. But he is a little boring and he doesn’t share any of Betty’s interests. He loves Betty very much and Betty said that she loved him- but she knows in her heart that it’s not true. He proposed to her and she agreed to marry him. The wedding is scheduled for next month. Meanwhile, Betty met another man, James. She doesn’t know James well but she thinks that he is the perfect man for her. He is funny, interesting and shares many of her hobbies. Betty is thinking about calling off the wedding. But that would break David’s heart. Both David’s family and Betty’s family will be disappointed, and perhaps angry. Also, she doesn’t really know James that well. Maybe he’s not as good as he seems. And maybe she could learn to love David. Betty doesn’t know what to do."
40093,ax3,5357,"Two camels, Tad and Shaun. ",Male,Arabic,2. What other two animals are also missing?
25737,gb4,3447,"How people's childhood experiences influence their lives

In this world, every individual is unique. All people have their own personalities, outlook on life and values. In a certain meaning,  all these are influenced by their different experiences and surrounding environments of childhood, such as families, school lives and social experiences.

First of all, family is the most effective factor to child's growth. Their parents are  not only the parents but also the first teacher. What kind of good habits should children be able to get into depend on the family education from their parents. If the parents are  traditional, conservative on educating their children,  the children will get the basic manners easily and will get to learn how  behave themselves better. This is very important thing for people's growth. 
Here is an example that about an American actor whose name is Wentworth Miller was interviewed as a guest in some talk show of Fenghuang TV(Chinese TV department), he talked about his childhood, especially about his parents who were keeping a strict hand over him. He owes his ability in success to his parents. So it's obviously to see that the family is how constructive to child's growth. 

In addition, when children start  to study in school, the school life will become a main part in their student's lives. The activities of school are not only for learning knowlege in classes, but also for making friends and getting used to staying the social life of the school. These things are really rich and colorful for children to make experiences.  Sometimes , the teachers are also required fair treatment to offer opportunities for each student . Some of children are  shy, so  if the teacher doesn't  encourage them to join the group activities, they probably would be isolated from others. Of course this is not just that teachers have to take the responsibility for children, parents are also must cooperate with teachers in educating their children. Usually people who graduated from schools have their good or bad memories which affect them make the next or future decisions , such as deciding  to become a good teacher like their respected and beloved teachers. Therefor, school life is a very important  element for influencing  people's life.

Finally , people, even children can not live without any social work , that means people always make the social experiences though living  in reality and nature. For example, children like  to spend holidays with families or friends, they could enjoy any small thing in naive way. By playing games with friends or doing activities with families, they will build cognition to this world, in other words, a sense of justice, a sense of commitment to society, a view of natural science. According to a research report, most Americans who attended religious services at some point during childhood look back on their experience in a positive way.   66%percent believe their religious attendance before age 18 gave them a good moral foundation. ( Most adults who attended religious services as a child are glad they did, Ellison Research, ANON_URLPAGE) On the other hand, if children dislike to join those kinds of activities, they maybe will lose some ability to live well with others.

In conclusion, whatever people recognize the importance about how their childhood experiences influence their lives. Though , people live in different countries with different customs, in fact, those experiences have been exactly affecting their lives so far, even the future.
",Female,Chinese,xx
21257,ay1,2943,"If we want to retain a value of land and buildings as the criterion by which local expenditure is apportioned amongst the local inhabitants, why should we not forget rental values and use, instead, capital values?

171 principles which should govern the remuneration of the constable,having regard to the nature and extent of police duties and
responsibilities and the need to attract and retain an adequate number of recruits with the proper qualifications'

If local government is to retain any semblance of
autonomy (and as a bulwark of democracy this must surely be necessary)it must have its own independent source of locally based income.

Similarly, as the foot closes on the third step, retain pressure (not weight) on the toe of the moving foot as the close is made, then lower
heel of the supporting foot as the next step is taken.


As to his integrity, he was such an inconvenient propagandist that the Government deserve credit
for having the nerve to appoint and retain him.
",Male,Korean,"RETAIN
Look at the Brown, LOB and TimesMarch 95 corpora:
There are many different kinds of noun that can be 'retained'.  Are there any common categories of nouns?  Give 5 examples of different kinds of things that can be retained."
38609,ds9,5176,sixtheen years old is the legal age in USA to obtain a drive s license.,,,"When did you OBTAIN a driver's license?  Or, if you don't have one, would you like to OBTAIN one in the future?"
24256,cb0,3327,Police rescued that kid was kidnaped yesterday.,Female,Chinese,Choose another word from the list above and write an original sentence for it.  DO NOT COPY A SENTENCE FROM THE DICTIONARY.
36379,fm9,4959,is raining,Male,Arabic,It ________________ right now. (rain).
10920,ft2,1650,c,Female,Korean,"Look at the phrase ""Aside from..."" at the beginning of paragraph 13.  What does it mean here?
a) next to
b) with
c) except for"
37307,fr9,5046,"Yes,I approached someone in Pittsburgh to tell me for directions, and that help me.",Male,Arabic,Have you approached someone in Pittsburgh to ask for directions?  Did they help you?
